Genome	B109_23_EFNP_N1 Relative Abundance (%)	B111F_22_EFNP_N1 Relative Abundance (%)	B11_23_RUNR Relative Abundance (%)	B120_23_EFNP_TC Relative Abundance (%)	B163F_22_EFNP_N1 Relative Abundance (%)	B184F_22_EFNP_BB Relative Abundance (%)	B18F_22_EFNP_N1 Relative Abundance (%)	B19_1_23_RUNR Relative Abundance (%)	B19_2_23_RUNR Relative Abundance (%)	B201_23_EFNP_BB Relative Abundance (%)	B2_1_23_RUNR Relative Abundance (%)	B218_23_EFNP_N96 Relative Abundance (%)	B220_23_EFNP_FF Relative Abundance (%)	B246F_22_EFNP_N1 Relative Abundance (%)	B250F_22_EFNP_CV Relative Abundance (%)	B29F_22_EFNP_BB Relative Abundance (%)	B31_23_EFNP_N31 Relative Abundance (%)	B328_23_EFNP_CC Relative Abundance (%)	B33_23_RUNR Relative Abundance (%)	B357_23_EFNP_TE Relative Abundance (%)	B361_23_EFNP_N88 Relative Abundance (%)	B362F_22_EFNP_WH Relative Abundance (%)	B363_23_EFNP_WH Relative Abundance (%)	B369F_22_EFNP_CV Relative Abundance (%)	B382_23_EFNP_CC Relative Abundance (%)	B39_23_RUNR Relative Abundance (%)	B407_23_EFNP_DW Relative Abundance (%)	B441_23_EFNP_RE Relative Abundance (%)	B458_23_EFNP_N1 Relative Abundance (%)	B461F_22_EFNP_BB Relative Abundance (%)	B462_23_EFNP_CV Relative Abundance (%)	B466F_22_EFNP_N1 Relative Abundance (%)	B478_23_EFNP_NB Relative Abundance (%)	B523F_22_EFNP_DW Relative Abundance (%)	B534F_22_EFNP_CC Relative Abundance (%)	B6_23_RUNR Relative Abundance (%)	B63_23_RUNR Relative Abundance (%)	B83F_22_EFNP_WH Relative Abundance (%)	EHI01172 Relative Abundance (%)	EHI01174 Relative Abundance (%)	EHI01175 Relative Abundance (%)	EHI01176 Relative Abundance (%)	EHI01177 Relative Abundance (%)	EHI01178 Relative Abundance (%)	EHI01179 Relative Abundance (%)	EHI01180 Relative Abundance (%)	EHI02781 Relative Abundance (%)	EHI02786 Relative Abundance (%)	EHI02790 Relative Abundance (%)	EHI02800 Relative Abundance (%)	EHI02805 Relative Abundance (%)	EHI02809 Relative Abundance (%)	EHI02814 Relative Abundance (%)	EHI02816 Relative Abundance (%)	FS1_1_23_RUNR Relative Abundance (%)	FS11F_22_EFNP_N1 Relative Abundance (%)	No_69_road_23_EFNP_N69 Relative Abundance (%)
unmapped	25.109577	50.712723	72.901184	22.471916	31.102806	23.703915	28.278965	45.58865	89.930275	20.133734	60.78628	19.866133	27.874105	27.405851	22.86341	31.550365	22.42552	23.207087	26.153713	29.448843	26.213783	21.78716	25.141357	28.479021	30.647915	23.806429	29.498785	28.457027	26.761585	28.705734	24.57925	29.337465	93.37953	25.612694	27.702124	22.841072	34.660477	25.954067	46.933983	39.45903	40.9802	43.2699	37.88346	40.415615	35.425533	41.803123	34.441395	33.359486	33.346672	34.347702	34.09049	34.55339	33.89384	32.828533	77.45978	28.497023	30.436605
EHA04743_bin.36	0.001248049	0.0018869754	0.000920317	0.00089435163	0.0017620855	0.0013927529	0.002719922	0.0012439638	0.00031999536	0.0026037747	0.00073491386	0.0025651844	0.0016861868	0.0024473972	0.0030169238	0.0021699227	0.0015437459	0.0023604175	0.002476556	0.0013937384	0.0025859184	0.0027090323	0.0018498227	0.0007448251	0.0009762289	0.0017238859	0.0024961592	0.004149029	0.0019162997	0.0011850111	0.0018843283	0.0019146951	0.00013879623	0.0023242217	0.0023198663	0.0022896186	0.0019947118	0.002957514	0.0017856619	0.0045027984	0.0017934941	0.0032217158	0.0016490248	0.0016806222	0.002065337	0.0034859895	1.1173743	1.2901621	1.0950159	1.3168613	1.09902	1.2519252	1.0902269	1.2792398	0.0006240205	0.0018518663	0.0013358394
EHA04743_bin.38	0.00050308445	0.001416314	0.0004990603	0.0065497155	0.0008296035	0.009427495	0.0009752111	0.006514258	0.00076404045	0.0024171495	0.0022466837	0.004738965	0.0015610348	0.0016891593	0.0043203314	0.0044944063	0.005205219	0.0058565866	0.0033290875	0.0045445594	0.0019733286	0.002293384	0.0139109185	0.0046490557	0.006892126	0.009481056	0.002614922	0.00024357496	0.0017097583	0.0014898363	0.0030876426	0.0014556777	0.00013654667	0.0009435322	0.0015539854	0.0016773614	0.00082234084	0.0018409	0.0022584558	0.00060270657	0.010175009	0.012904429	0.0066388557	0.0012915719	0.0008388043	0.0009808799	1.2480904	1.3459779	1.2743943	1.4230711	1.1253291	1.5827457	1.2826324	1.5577441	0.0009998151	0.002362136	0.00785772
EHA04743_bin.3	0.0037830176	0.004205942	0.001991418	0.0027525418	0.0072098975	0.004655514	0.007175965	0.0032856264	0.00067473267	0.0093640825	0.001566676	0.005367455	0.0027471986	0.005347137	0.0074832775	0.0062862476	0.004791534	0.004949881	0.0056762104	0.003813722	0.004903868	0.0074254493	0.007845713	0.0024486356	0.003460327	0.006910227	0.0039128037	0.007231299	0.007916482	0.003761628	0.00625081	0.007302202	0.0004888555	0.006005885	0.0048697595	0.005580427	0.0060900543	0.0071247513	0.009126452	0.012983045	0.0051482213	0.010544559	0.014519412	0.017465528	0.01323373	0.037844274	0.6377578	0.86622345	0.81053185	0.6590536	0.7443284	0.5690398	0.60249984	1.2795566	0.0016456447	0.004031308	0.002646648
EHA04743_bin.42	0.00021470047	0.00074843905	0.00022821568	0.0007653301	0.0005933181	0.0009796896	0.00088400906	0.0006272284	0.000015538395	0.0010894979	0.000114827424	0.00040905175	0.0004319356	0.001088044	0.00074115617	0.0016502964	0.00032727834	0.0005990683	0.0014917741	0.0003695813	0.0008010742	0.00115708	0.00034370762	0.00017746024	0.00012999632	0.00033130313	0.00081023114	0.0006759009	0.0006041578	0.00027087866	0.000399534	0.00046553454	0.0002550914	0.00082890043	0.000741069	0.003936147	0.003980815	0.0009455168	0.008653012	0.0106628155	0.010386396	0.009262734	0.009032887	0.006845154	0.006417639	0.004419976	0.21368127	0.180323	0.16937348	0.1998228	0.15522625	0.17839101	0.20084848	0.18089178	0.0003865104	0.00097635714	0.0006252914
EHA04744_bin.26	2.594664	0.06130036	0.08667979	0.017022906	0.10096584	0.14009824	0.09226608	0.07176249	0.036496423	2.6748383	3.2568758	0.10998645	0.097771704	0.51951784	0.100208856	0.2009864	0.089751765	0.123418294	0.23482943	0.113183945	0.18257627	0.058198318	0.11913062	0.03071523	0.053325634	0.13913451	0.14566812	0.037654027	1.3672409	1.928398	0.04928508	3.5668876	0.1902015	0.017880889	1.7185651	0.18146156	0.08761859	0.18370518	0.005752281	0.015971242	0.029790068	0.0060335295	0.005660168	0.0039686384	0.006179347	0.006969693	1.9461547	2.0505717	2.1873498	2.0655086	1.5613992	1.9935486	1.8524628	2.3766487	0.052371163	0.32427242	0.07173157
EHA04744_bin.40	0.00038457828	0.00030998656	0.0004987621	0.00024100381	0.0005835859	0.00034715718	0.00045135085	0.000575768	0.0000145158165	0.0013212621	0.00014614676	0.0019168674	0.00075478776	0.0008214304	0.0009539399	0.00090908754	0.00016363752	0.0009655868	0.00033544688	0.00035669972	0.0011332333	0.0007296623	0.0015657481	0.0011057069	0.0005917979	0.0005898861	0.00038892176	0.00019416296	0.0006640859	0.0004884478	0.00020088111	0.00035204255	0.000025414285	0.00088226877	0.00032790672	0.0007636972	0.0006266379	0.0011345432	0.00051885814	0.0003202122	0.0005347775	0.0002528653	0.0013120435	0.00018836813	0.00035054577	0.0001968196	0.36047748	0.45160747	0.3660472	0.44117823	0.3442926	0.4365613	0.345797	0.5128171	0.00027583362	0.0006446566	0.00087125535
EHA04744_bin.6	0.0011841132	0.0008081391	0.00021005445	0.00029391283	0.0005833696	0.00068784296	0.0009086691	0.0005249639	0.00006933286	0.0012187798	0.0003266867	0.00074657757	0.0003336623	0.0014771454	0.0014642971	0.0010684966	0.0015248071	0.0006206182	0.00096604583	0.0009782843	0.0006360204	0.0015465233	0.0012280208	0.0004619073	0.00063252245	0.00073672074	0.0009586121	0.0015032832	0.0013711117	0.0011020306	0.0014331703	0.0013235298	0.000055622088	0.0010664177	0.0010898728	0.0013687607	0.00065642264	0.0026195731	0.0014180384	0.0014789073	0.0034090483	0.0011569613	0.002602795	0.0018851587	0.0018539154	0.002238316	0.17531306	0.18838435	0.18960443	0.16427019	0.15228495	0.17217782	0.14160974	0.19678861	0.00029264984	0.0006573304	0.0005753667
EHA04745_bin.5	0.0076815044	0.005710575	0.0044807107	0.0064415885	0.009319852	0.010688795	0.0077648694	0.007261746	0.00093443674	0.00641558	0.0027003703	0.0060062795	0.009092854	0.01287766	0.0073240926	0.014113953	0.00885564	0.012897334	0.008264883	0.007988968	0.013021851	0.007899093	0.01293905	0.0050436114	0.005292456	0.012151558	0.00585916	0.009947353	0.0059550805	0.005892324	0.0038539032	0.00832373	0.0004408959	0.007985007	0.0065762084	0.00802889	0.012831326	0.016055867	0.009541138	0.008380497	0.010893548	0.009016565	0.013232645	0.010027002	0.020628454	0.0113417925	0.5113208	0.59701574	0.7396368	0.5366911	0.7263892	0.393794	0.704521	0.73772836	0.0032910432	0.011768606	0.007687079
EHA04746_bin.18	0.0004549161	0.00067148765	0.0002327239	0.000939445	0.000557443	0.00095777656	0.0008677476	0.0011580844	0.00034933942	0.0010405103	0.0003914808	0.0016544195	0.0010226995	0.0013986276	0.0003771545	0.00086317246	0.00053493003	0.0011033393	0.0013746461	0.00066641805	0.000680688	0.0009961481	0.00089450675	0.0013367512	0.0012115875	0.0006866709	0.0010463215	0.00041632378	0.0010280337	0.0010889821	0.0005894446	0.0004182027	0.00017011557	0.0014482607	0.00040757304	0.0018155774	0.0007812037	0.00076973194	0.0009889517	0.0003415016	0.00086991914	0.0007659257	0.00065936253	0.0023336757	0.0014163618	0.0009329721	2.5490575	2.521232	2.4314368	2.6464252	2.2491617	2.550156	2.50265	2.6277435	0.0007187017	0.0007701616	0.00067483453
