genome,completeness,contamination,location,length,N50
EHA04815_bin.53.fa.gz,100.0,0.91,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.53.fa.gz,1600032,12907
EHA04815_bin.59.fa.gz,100.0,0.32,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.59.fa.gz,2926885,80667
EHA04815_bin.166.fa.gz,100.0,0.19,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.166.fa.gz,1576954,63021
EHA04823_bin.128.fa.gz,100.0,0.8,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.128.fa.gz,1889995,3110
EHA04823_bin.138.fa.gz,100.0,0.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.138.fa.gz,1920874,4574
EHA04823_bin.149.fa.gz,100.0,2.1,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.149.fa.gz,2695679,6121
EHA04823_bin.172.fa.gz,100.0,1.95,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.172.fa.gz,3201459,9028
EHA04823_bin.258.fa.gz,100.0,2.46,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.258.fa.gz,1112922,23548
EHA04823_bin.269.fa.gz,100.0,1.24,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.269.fa.gz,2638810,66006
EHA04823_bin.93.fa.gz,100.0,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.93.fa.gz,1722245,3123
EHA04815_bin.105.fa.gz,99.99,0.11,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.105.fa.gz,1840008,94513
EHA04823_bin.256.fa.gz,99.99,0.32,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.256.fa.gz,2021182,58526
EHA04823_bin.49.fa.gz,99.93,0.61,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.49.fa.gz,1097252,3113
EHA04747_bin.9.fa.gz,99.92,0.97,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.9.fa.gz,1124456,2717
EHA04749_bin.30.fa.gz,99.92,0.66,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04749_bin.30.fa.gz,2772566,49945
EHA04815_bin.200.fa.gz,99.92,4.68,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.200.fa.gz,1300576,7698
