genome,completeness,contamination,location,length,N50,centrality
EHA04815_bin.53.fa.gz,100.0,0.91,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.53.fa.gz,1600032.0,12907.0,0.0
EHA04815_bin.59.fa.gz,100.0,0.32,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.59.fa.gz,2926885.0,80667.0,0.0
EHA04815_bin.166.fa.gz,100.0,0.19,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.166.fa.gz,1576954.0,63021.0,0.0
EHA04823_bin.128.fa.gz,100.0,0.8,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.128.fa.gz,1889995.0,3110.0,0.0
EHA04823_bin.138.fa.gz,100.0,0.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.138.fa.gz,1920874.0,4574.0,0.0
EHA04823_bin.149.fa.gz,100.0,2.1,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.149.fa.gz,2695679.0,6121.0,0.0
EHA04823_bin.172.fa.gz,100.0,1.95,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.172.fa.gz,3201459.0,9028.0,0.0
EHA04823_bin.258.fa.gz,100.0,2.46,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.258.fa.gz,1112922.0,23548.0,0.0
EHA04823_bin.269.fa.gz,100.0,1.24,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.269.fa.gz,2638810.0,66006.0,0.0
EHA04823_bin.93.fa.gz,100.0,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.93.fa.gz,1722245.0,3123.0,0.0
EHA04815_bin.105.fa.gz,99.99,0.11,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.105.fa.gz,1840008.0,94513.0,0.0
EHA04823_bin.256.fa.gz,99.99,0.32,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.256.fa.gz,2021182.0,58526.0,0.0
EHA04823_bin.49.fa.gz,99.93,0.61,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.49.fa.gz,1097252.0,3113.0,0.0
EHA04747_bin.9.fa.gz,99.92,0.97,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.9.fa.gz,1124456.0,2717.0,0.994807
EHA04749_bin.30.fa.gz,99.92,0.66,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04749_bin.30.fa.gz,2772566.0,49945.0,0.0
EHA04815_bin.200.fa.gz,99.92,4.68,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.200.fa.gz,1300576.0,7698.0,0.0
EHA04747_bin.24.fa.gz,99.88,0.15,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.24.fa.gz,2159588.0,56340.0,0.0
EHA04815_bin.79.fa.gz,99.87,0.27,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.79.fa.gz,1631356.0,4433.0,0.0
EHA04823_bin.158.fa.gz,99.83,0.64,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.158.fa.gz,1573833.0,2972.0,0.0
EHA04815_bin.172.fa.gz,99.8,2.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.172.fa.gz,917977.0,29571.0,0.0
EHA04823_bin.71.fa.gz,99.78,0.37,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.71.fa.gz,1132795.0,33948.0,0.0
EHA04749_bin.28.fa.gz,99.68,0.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04749_bin.28.fa.gz,2036769.0,129568.0,0.0
EHA04744_bin.26.fa.gz,99.67,0.77,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04744_bin.26.fa.gz,2517514.0,50757.0,0.981249
EHA04747_bin.37.fa.gz,99.67,0.06,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.37.fa.gz,1971688.0,4941.0,0.0
EHA04823_bin.207.fa.gz,99.67,0.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.207.fa.gz,2079323.0,33801.0,0.0
EHA04823_bin.73.fa.gz,99.64,0.94,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.73.fa.gz,1164055.0,3178.0,0.0
EHA04823_bin.39.fa.gz,99.63,0.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.39.fa.gz,2372804.0,4044.0,0.0
EHA04823_bin.282.fa.gz,99.61,2.51,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.282.fa.gz,1331669.0,4063.0,0.0
EHA04749_bin.18.fa.gz,99.6,0.01,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04749_bin.18.fa.gz,2170875.0,96760.0,0.0
EHA04823_bin.202.fa.gz,99.6,1.77,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.202.fa.gz,1442104.0,65239.0,0.0
EHA04815_bin.97.fa.gz,99.54,0.06,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.97.fa.gz,1820310.0,58834.0,0.0
EHA04748_bin.7.fa.gz,99.53,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04748_bin.7.fa.gz,1122789.0,361144.0,0.0
EHA04823_bin.263.fa.gz,99.52,2.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.263.fa.gz,1809107.0,5025.0,0.988735
EHA04747_bin.16.fa.gz,99.49,0.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.16.fa.gz,2338835.0,70087.0,0.0
EHA04749_bin.26.fa.gz,99.46,0.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04749_bin.26.fa.gz,2282685.0,88488.0,0.0
EHA04815_bin.102.fa.gz,99.45,0.2,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.102.fa.gz,1891158.0,67712.0,0.0
EHA04823_bin.223.fa.gz,99.44,2.24,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.223.fa.gz,1139565.0,50231.0,0.0
EHA04815_bin.170.fa.gz,99.43,0.6,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.170.fa.gz,833778.0,9050.0,0.0
EHA04746_bin.18.fa.gz,99.41,0.25,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04746_bin.18.fa.gz,2714220.0,84230.0,0.0
EHA04750_bin.36.fa.gz,99.35,0.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04750_bin.36.fa.gz,2322313.0,17205.0,0.0
EHA04815_bin.1.fa.gz,99.35,0.42,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.1.fa.gz,1183631.0,27379.0,0.0
EHA04823_bin.61.fa.gz,99.32,4.61,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.61.fa.gz,2835680.0,12883.0,0.982004
EHA04815_bin.93.fa.gz,99.25,1.25,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.93.fa.gz,1925841.0,55392.0,0.986044
EHA04747_bin.7.fa.gz,99.17,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.7.fa.gz,846666.0,2891.0,0.0
EHA04823_bin.21.fa.gz,99.14,0.27,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.21.fa.gz,2258619.0,38654.0,0.0
EHA04750_bin.18.fa.gz,99.13,0.8,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04750_bin.18.fa.gz,3803444.0,140593.0,0.0
