Genome	B2_1_23_RUNR Read Count	B2_1_23_RUNR Covered Fraction	B2_1_23_RUNR Length	B120_23_EFNP_TC Read Count	B120_23_EFNP_TC Covered Fraction	B120_23_EFNP_TC Length	EHI02809 Read Count	EHI02809 Covered Fraction	EHI02809 Length	EHI01176 Read Count	EHI01176 Covered Fraction	EHI01176 Length	B362F_22_EFNP_WH Read Count	B362F_22_EFNP_WH Covered Fraction	B362F_22_EFNP_WH Length	B18F_22_EFNP_N1 Read Count	B18F_22_EFNP_N1 Covered Fraction	B18F_22_EFNP_N1 Length	EHI01174 Read Count	EHI01174 Covered Fraction	EHI01174 Length	EHI02816 Read Count	EHI02816 Covered Fraction	EHI02816 Length	B357_23_EFNP_TE Read Count	B357_23_EFNP_TE Covered Fraction	B357_23_EFNP_TE Length	B111F_22_EFNP_N1 Read Count	B111F_22_EFNP_N1 Covered Fraction	B111F_22_EFNP_N1 Length	B31_23_EFNP_N31 Read Count	B31_23_EFNP_N31 Covered Fraction	B31_23_EFNP_N31 Length	B407_23_EFNP_DW Read Count	B407_23_EFNP_DW Covered Fraction	B407_23_EFNP_DW Length	B201_23_EFNP_BB Read Count	B201_23_EFNP_BB Covered Fraction	B201_23_EFNP_BB Length	EHI02800 Read Count	EHI02800 Covered Fraction	EHI02800 Length	B33_23_RUNR Read Count	B33_23_RUNR Covered Fraction	B33_23_RUNR Length	EHI02786 Read Count	EHI02786 Covered Fraction	EHI02786 Length	B462_23_EFNP_CV Read Count	B462_23_EFNP_CV Covered Fraction	B462_23_EFNP_CV Length	B218_23_EFNP_N96 Read Count	B218_23_EFNP_N96 Covered Fraction	B218_23_EFNP_N96 Length	B246F_22_EFNP_N1 Read Count	B246F_22_EFNP_N1 Covered Fraction	B246F_22_EFNP_N1 Length	B184F_22_EFNP_BB Read Count	B184F_22_EFNP_BB Covered Fraction	B184F_22_EFNP_BB Length	B109_23_EFNP_N1 Read Count	B109_23_EFNP_N1 Covered Fraction	B109_23_EFNP_N1 Length	EHI01178 Read Count	EHI01178 Covered Fraction	EHI01178 Length	B163F_22_EFNP_N1 Read Count	B163F_22_EFNP_N1 Covered Fraction	B163F_22_EFNP_N1 Length	EHI02814 Read Count	EHI02814 Covered Fraction	EHI02814 Length	B39_23_RUNR Read Count	B39_23_RUNR Covered Fraction	B39_23_RUNR Length	B382_23_EFNP_CC Read Count	B382_23_EFNP_CC Covered Fraction	B382_23_EFNP_CC Length	B11_23_RUNR Read Count	B11_23_RUNR Covered Fraction	B11_23_RUNR Length	B63_23_RUNR Read Count	B63_23_RUNR Covered Fraction	B63_23_RUNR Length	FS1_1_23_RUNR Read Count	FS1_1_23_RUNR Covered Fraction	FS1_1_23_RUNR Length	B441_23_EFNP_RE Read Count	B441_23_EFNP_RE Covered Fraction	B441_23_EFNP_RE Length	EHI01177 Read Count	EHI01177 Covered Fraction	EHI01177 Length	No_69_road_23_EFNP_N69 Read Count	No_69_road_23_EFNP_N69 Covered Fraction	No_69_road_23_EFNP_N69 Length	B461F_22_EFNP_BB Read Count	B461F_22_EFNP_BB Covered Fraction	B461F_22_EFNP_BB Length	B19_1_23_RUNR Read Count	B19_1_23_RUNR Covered Fraction	B19_1_23_RUNR Length	B19_2_23_RUNR Read Count	B19_2_23_RUNR Covered Fraction	B19_2_23_RUNR Length	B466F_22_EFNP_N1 Read Count	B466F_22_EFNP_N1 Covered Fraction	B466F_22_EFNP_N1 Length	B363_23_EFNP_WH Read Count	B363_23_EFNP_WH Covered Fraction	B363_23_EFNP_WH Length	EHI01179 Read Count	EHI01179 Covered Fraction	EHI01179 Length	EHI02781 Read Count	EHI02781 Covered Fraction	EHI02781 Length	EHI01175 Read Count	EHI01175 Covered Fraction	EHI01175 Length	B6_23_RUNR Read Count	B6_23_RUNR Covered Fraction	B6_23_RUNR Length	FS11F_22_EFNP_N1 Read Count	FS11F_22_EFNP_N1 Covered Fraction	FS11F_22_EFNP_N1 Length	EHI02805 Read Count	EHI02805 Covered Fraction	EHI02805 Length	B361_23_EFNP_N88 Read Count	B361_23_EFNP_N88 Covered Fraction	B361_23_EFNP_N88 Length	B478_23_EFNP_NB Read Count	B478_23_EFNP_NB Covered Fraction	B478_23_EFNP_NB Length	B83F_22_EFNP_WH Read Count	B83F_22_EFNP_WH Covered Fraction	B83F_22_EFNP_WH Length	EHI02790 Read Count	EHI02790 Covered Fraction	EHI02790 Length	B369F_22_EFNP_CV Read Count	B369F_22_EFNP_CV Covered Fraction	B369F_22_EFNP_CV Length	B250F_22_EFNP_CV Read Count	B250F_22_EFNP_CV Covered Fraction	B250F_22_EFNP_CV Length	B29F_22_EFNP_BB Read Count	B29F_22_EFNP_BB Covered Fraction	B29F_22_EFNP_BB Length	B523F_22_EFNP_DW Read Count	B523F_22_EFNP_DW Covered Fraction	B523F_22_EFNP_DW Length	B220_23_EFNP_FF Read Count	B220_23_EFNP_FF Covered Fraction	B220_23_EFNP_FF Length	B458_23_EFNP_N1 Read Count	B458_23_EFNP_N1 Covered Fraction	B458_23_EFNP_N1 Length	EHI01180 Read Count	EHI01180 Covered Fraction	EHI01180 Length	B534F_22_EFNP_CC Read Count	B534F_22_EFNP_CC Covered Fraction	B534F_22_EFNP_CC Length	B328_23_EFNP_CC Read Count	B328_23_EFNP_CC Covered Fraction	B328_23_EFNP_CC Length	EHI01172 Read Count	EHI01172 Covered Fraction	EHI01172 Length
EHA04743_bin.36	276	0.0047545414	1865795	295	0.003946307	1865795	379096	0.9996398	1865795	987	0.0065296562	1865795	1308	0.0074472274	1865795	1525	0.0073764804	1865795	1492	0.008356759	1865795	441372	0.9994592	1865795	254	0.0043005794	1865795	741	0.0066582877	1865795	655	0.0065666377	1865795	426	0.0055429456	1865795	3146	0.008175068	1865795	384278	0.9996838	1865795	1018	0.0051993923	1865795	427813	0.9995246	1865795	654	0.0061137476	1865795	3341	0.00830745	1865795	1466	0.0074375803	1865795	708	0.0065757493	1865795	538	0.006486243	1865795	546	0.006243987	1865795	1243	0.007834194	1865795	405177	0.99983174	1865795	909	0.006457301	1865795	319	0.0058881068	1865795	738	0.004931946	1865795	323	0.0046468126	1865795	240	0.0034451801	1865795	1637	0.0064782035	1865795	427	0.0050578974	1865795	601	0.0062616738	1865795	541	0.006003875	1865795	1045	0.0066459607	1865795	67	0.0016566665	1865795	1028	0.0062997276	1865795	720	0.0060285293	1865795	1213	0.008660652	1865795	289073	0.99976045	1865795	552	0.0066920538	1865795	1433	0.0061914627	1865795	699	0.0062070056	1865795	331568	0.99954283	1865795	881	0.0067536896	1865795	35	0.00058473734	1865795	2506	0.0084794955	1865795	288952	0.99936277	1865795	537	0.004476912	1865795	8276	0.009563216	1865795	922	0.0061003487	1865795	1615	0.006543591	1865795	349	0.0035094959	1865795	643	0.007653574	1865795	999	0.0055590244	1865795	773	0.0058093197	1865795	713	0.0056201243	1865795	316	0.0058768513	1865795
EHA04743_bin.38	938	0.01959629	2180821	2425	0.034203634	2180821	555056	0.9990293	2180821	4514	0.039499804	2180821	1341	0.01940416	2180821	675	0.012325175	2180821	241	0.0035504978	2180821	621632	0.9986693	2180821	905	0.02013783	2180821	644	0.013082688	2180821	2513	0.033132475	2180821	504	0.014690339	2180821	3400	0.03719379	2180821	481257	0.9986464	2180821	1486	0.016677206	2180821	517308	0.9989912	2180821	1222	0.022868453	2180821	6783	0.04471756	2180821	1186	0.014788926	2180821	5170	0.038090702	2180821	253	0.005822578	2180821	467	0.0039127464	2180821	703	0.015636772	2180821	551639	0.9987271	2180821	5549	0.036779728	2180821	2585	0.030409649	2180821	465	0.009332724	2180821	154	0.0048678913	2180821	405	0.0101017	2180821	118	0.00346796	2180821	1922	0.026958195	2180821	3956	0.034980405	2180821	780	0.012763083	2180821	5969	0.038955513	2180821	190	0.0048949453	2180821	960	0.013858542	2180821	5705	0.04000053	2180821	575	0.0055451593	2180821	373979	0.99923193	2180821	3516	0.03600112	2180821	1164	0.01308819	2180821	1022	0.018151421	2180821	393342	0.9983162	2180821	766	0.018134914	2180821	30	0.0006914827	2180821	1844	0.024310568	2180821	389238	0.9981255	2180821	3481	0.035538908	2180821	13608	0.053216197	2180821	2114	0.03094752	2180821	783	0.008403716	2180821	372	0.009680299	2180821	670	0.016654737	2180821	319	0.0033597439	2180821	610	0.009938001	2180821	1976	0.030243197	2180821	450	0.011968428	2180821
EHA04743_bin.3	498	0.00798563	1691914	787	0.015577624	1691914	155218	0.99677587	1691914	2783	0.016886791	1691914	3069	0.020839712	1691914	3432	0.021760562	1691914	3620	0.050068147	1691914	397083	0.99836874	1691914	580	0.009722126	1691914	1413	0.013556835	1691914	1764	0.017862018	1691914	562	0.01283103	1691914	9560	0.022356927	1691914	173223	0.9971494	1691914	1915	0.014124241	1691914	258671	0.9979349	1691914	1858	0.016400361	1691914	5849	0.01889044	1691914	2675	0.02079361	1691914	1989	0.020501632	1691914	1414	0.017967226	1691914	4891	0.14000416	1691914	4345	0.022599848	1691914	201686	0.9979089	1691914	3104	0.022224534	1691914	972	0.01482995	1691914	1355	0.016650373	1691914	837	0.016014406	1691914	503	0.011008243	1691914	2404	0.018531675	1691914	3166	0.05040859	1691914	1018	0.016068192	1691914	1474	0.016890338	1691914	2354	0.021415392	1691914	125	0.0047585163	1691914	3359	0.01855177	1691914	2521	0.02072032	1691914	6632	0.1335322	1691914	148688	0.9988522	1691914	1355	0.014901467	1691914	2760	0.020976834	1691914	1243	0.016419275	1691914	202230	0.99792486	1691914	1414	0.015325838	1691914	75	0.0024150163	1691914	5254	0.02243672	1691914	192503	0.9970832	1691914	1361	0.017250877	1691914	17353	0.027691714	1691914	2209	0.019568961	1691914	3494	0.019168232	1691914	489	0.009326715	1691914	2259	0.017250877	1691914	9020	0.17482626	1691914	1399	0.016284516	1691914	1264	0.014136652	1691914	1375	0.022095095	1691914
EHA04743_bin.42	29	0.0013848159	1338084	165	0.012331812	1338084	36941	0.84293884	1338084	1880	0.041365862	1338084	372	0.016859928	1338084	337	0.013226374	1338084	2306	0.045796826	1338084	42666	0.8469042	1338084	45	0.0024609815	1338084	192	0.012919966	1338084	95	0.0046245228	1338084	89	0.0065945038	1338084	896	0.031775285	1338084	39907	0.8572145	1338084	383	0.014986354	1338084	40877	0.8598825	1338084	88	0.006122934	1338084	372	0.010248235	1338084	422	0.024421487	1338084	327	0.018425599	1338084	63	0.0042934525	1338084	1446	0.06454378	1338084	277	0.014368306	1338084	51052	0.8930725	1338084	121	0.0050258427	1338084	31	0.0017046762	1338084	123	0.0045565153	1338084	419	0.031524926	1338084	102	0.0054525724	1338084	175	0.010945501	1338084	1526	0.043571256	1338084	182	0.009707163	1338084	81	0.0060706204	1338084	356	0.01669103	1338084	2	0.00011284792	1338084	181	0.006614682	1338084	88	0.0041013868	1338084	2453	0.072053775	1338084	37969	0.92154676	1338084	2089	0.10049668	1338084	1519	0.07424197	1338084	245	0.012011952	1338084	32102	0.80540836	1338084	175	0.012389356	1338084	28	0.001845923	1338084	548	0.020000987	1338084	30526	0.8003563	1338084	86	0.0027442223	1338084	1362	0.029279178	1338084	466	0.025342952	1338084	385	0.018696135	1338084	61	0.002807746	1338084	137	0.007947931	1338084	806	0.02689891	1338084	156	0.009049507	1338084	129	0.006457741	1338084	1013	0.034722783	1338084
EHA04744_bin.26	1553534	0.79780966	2517514	7271	0.16171946	2517514	811383	0.9984624	2517514	2385	0.008531433	2517514	37707	0.023020726	2517514	67788	0.63815653	2517514	6745	0.016846381	2517514	1100828	0.9989601	2517514	27068	0.022407422	2517514	31439	0.45012978	2517514	51275	0.02274744	2517514	32186	0.33156478	2517514	4073808	0.8032865	2517514	810854	0.99870306	2517514	128033	0.025650304	2517514	913603	0.9994856	2517514	22792	0.02114586	2517514	189052	0.025711078	2517514	386857	0.7955829	2517514	90579	0.7367701	2517514	1428113	0.7930149	2517514	1677	0.007899857	2517514	91942	0.741319	2517514	925557	0.99937636	2517514	98945	0.027462807	2517514	22703	0.01678243	2517514	93781	0.022361346	2517514	18584	0.021683296	2517514	24762	0.020618357	2517514	19296	0.021124411	2517514	1906	0.008328057	2517514	42327	0.48889023	2517514	1130535	0.79739934	2517514	79761	0.025734117	2517514	10831	0.018887283	2517514	2433670	0.7998438	2517514	59187	0.025198668	2517514	4661	0.010380081	2517514	677104	0.9987551	2517514	11744	0.026010184	2517514	140887	0.026181383	2517514	153601	0.7834435	2517514	634059	0.99924845	2517514	81647	0.025457257	2517514	45842	0.5800655	2517514	199410	0.78839564	2517514	775910	0.99854934	2517514	26295	0.008612067	2517514	369792	0.03102942	2517514	107065	0.7574401	2517514	15891	0.009367575	2517514	26883	0.019133558	2517514	582856	0.79689604	2517514	2514	0.0142747965	2517514	728503	0.79489803	2517514	49045	0.023857662	2517514	1347	0.010162009	2517514
EHA04744_bin.40	75	0.0021312197	2668425	108	0.0032135062	2668425	186701	0.98668206	2668425	105	0.0020877484	2668425	519	0.0074759456	2668425	350	0.0067388066	2668425	146	0.0035331703	2668425	249815	0.99019045	2668425	87	0.0027671754	2668425	165	0.0038348464	2668425	103	0.002711712	2668425	93	0.0025636845	2668425	2176	0.014590255	2668425	182119	0.9838965	2668425	179	0.0030568594	2668425	211846	0.9970638	2668425	98	0.002832757	2668425	3376	0.017803011	2668425	667	0.00882693	2668425	257	0.005273523	2668425	230	0.005172714	2668425	83	0.0021072356	2668425	553	0.00790129	2668425	181407	0.98400664	2668425	439	0.007080956	2668425	279	0.0058896164	2668425	563	0.0071394173	2668425	139	0.003729166	2668425	146	0.0028387532	2668425	105	0.002764927	2668425	489	0.006786775	2668425	548	0.008363361	2668425	314	0.0059525752	2668425	652	0.008537246	2668425	5	0.0001933725	2668425	271	0.005041551	2668425	788	0.0101239495	2668425	288	0.005057665	2668425	131944	0.97222143	2668425	228	0.004563741	2668425	630	0.0077899885	2668425	338	0.0050970144	2668425	146743	0.97595733	2668425	506	0.0075426516	2668425	6	0.00011242587	2668425	1365	0.011485802	2668425	136482	0.9720745	2668425	1029	0.010780142	2668425	3511	0.018729774	2668425	518	0.006941548	2668425	824	0.009020302	2668425	209	0.004275181	2668425	299	0.0056302873	2668425	82	0.0017890703	2668425	148	0.0037194225	2668425	400	0.0069752755	2668425	132	0.002635637	2668425
EHA04744_bin.6	61	0.0055637523	1006515	49	0.0046944157	1006515	27181	0.8783436	1006515	189	0.010654585	1006515	382	0.015507965	1006515	255	0.0131185325	1006515	242	0.008083337	1006515	35476	0.9198144	1006515	87	0.00621948	1006515	155	0.00965311	1006515	327	0.013577542	1006515	79	0.0050659953	1006515	750	0.022727927	1006515	25015	0.8751355	1006515	192	0.010028663	1006515	32649	0.9538656	1006515	248	0.0153082665	1006515	479	0.01824712	1006515	438	0.017308237	1006515	168	0.009688877	1006515	251	0.012338614	1006515	311	0.021737382	1006515	210	0.013198015	1006515	27527	0.89436126	1006515	195	0.011040074	1006515	103	0.00750113	1006515	83	0.005559778	1006515	52	0.0047142864	1006515	49	0.0038310408	1006515	288	0.015559629	1006515	337	0.009856783	1006515	134	0.0058548558	1006515	252	0.0130658755	1006515	221	0.01170375	1006515	10	0.00047689304	1006515	358	0.014141866	1006515	226	0.012529371	1006515	558	0.017524825	1006515	23648	0.86094695	1006515	530	0.022989225	1006515	401	0.017169142	1006515	119	0.008771852	1006515	24002	0.8589589	1006515	105	0.00789556	1006515	5	0.00040138498	1006515	1201	0.024295714	1006515	26101	0.87957555	1006515	159	0.010144906	1006515	2019	0.029906161	1006515	215	0.0122770155	1006515	370	0.015584467	1006515	34	0.0032677108	1006515	227	0.01442204	1006515	312	0.011677918	1006515	179	0.011576579	1006515	94	0.00710968	1006515	131	0.008454916	1006515
EHA04745_bin.5	1233	0.009002361	2374266	2626	0.008775343	2374266	151277	0.9929953	2374266	3413	0.025527889	2374266	4847	0.012185661	2374266	5466	0.012253893	2374266	3365	0.0331235	2374266	322601	0.9986817	2374266	1749	0.011690771	2374266	2792	0.013954207	2374266	4631	0.014056976	2374266	1233	0.008329732	2374266	9624	0.014530386	2374266	198728	0.99736255	2374266	4036	0.011621276	2374266	251000	0.9986278	2374266	1703	0.011117962	2374266	9818	0.016867107	2374266	9438	0.014746031	2374266	6577	0.014981472	2374266	4093	0.014708967	2374266	4008	0.030758137	2374266	8126	0.0152763	2374266	331951	0.9989618	2374266	8097	0.01414037	2374266	2139	0.01232086	2374266	4484	0.008079549	2374266	2533	0.011254847	2374266	1448	0.006822319	2374266	4749	0.016929021	2374266	4190	0.033353046	2374266	4349	0.010335404	2374266	3365	0.011795225	2374266	7594	0.011727835	2374266	249	0.0029777624	2374266	5740	0.010634866	2374266	5999	0.014270094	2374266	14769	0.04295896	2374266	167730	0.99641657	2374266	4047	0.027153233	2374266	5840	0.013548187	2374266	5317	0.012741622	2374266	277831	0.9988468	2374266	5385	0.015528589	2374266	108	0.0013688441	2374266	17257	0.014467208	2374266	247312	0.99936694	2374266	4137	0.01080713	2374266	25100	0.017932279	2374266	7294	0.016003262	2374266	6982	0.0111297555	2374266	2253	0.008168419	2374266	2498	0.011157133	2374266	3887	0.030875226	2374266	2711	0.011621276	2374266	4785	0.012688553	2374266	2129	0.014962098	2374266
EHA04746_bin.18	231	0.0022592125	2714220	474	0.0032764478	2714220	1122224	0.99980545	2714220	367	0.00393999	2714220	776	0.0057895086	2714220	763	0.005251601	2714220	178	0.00262359	2714220	1316774	0.9997848	2714220	187	0.0019213624	2714220	418	0.0036533517	2714220	374	0.0034370832	2714220	271	0.0023030557	2714220	2183	0.006873798	2714220	1122835	0.999895	2714220	843	0.0033077642	2714220	1215656	0.99979293	2714220	323	0.0026619066	2714220	3488	0.009175749	2714220	1369	0.005872774	2714220	749	0.0045368467	2714220	295	0.0027440665	2714220	1140	0.0074577597	2714220	626	0.0047579044	2714220	1350861	0.99970675	2714220	587	0.0023052664	2714220	630	0.0033003958	2714220	318	0.002486534	2714220	199	0.0019589423	2714220	422	0.0027046443	2714220	251	0.0026659593	2714220	261	0.0037045635	2714220	521	0.0031257598	2714220	796	0.0036702994	2714220	1614	0.0060566203	2714220	118	0.0014431402	2714220	361	0.0040759407	2714220	535	0.0042579453	2714220	1304	0.008988954	2714220	958405	0.9997351	2714220	401	0.0040472033	2714220	1753	0.0054866592	2714220	455	0.003083022	2714220	986363	0.9998051	2714220	346	0.003258763	2714220	50	0.00044174754	2714220	1103	0.0051510194	2714220	932283	0.9997863	2714220	1372	0.0058053513	2714220	1772	0.005445027	2714220	584	0.0034234512	2714220	1617	0.005484817	2714220	337	0.0022105798	2714220	531	0.0038607777	2714220	433	0.0037277744	2714220	213	0.002251844	2714220	546	0.0031795506	2714220	273	0.004192733	2714220
EHA04746_bin.20	3416	0.004260134	2130919	2969	0.005893232	2130919	329289	0.99943733	2130919	8322	0.07288921	2130919	4825	0.008434858	2130919	5785	0.0069627236	2130919	18397	0.11892662	2130919	409259	0.9995317	2130919	2149	0.005083722	2130919	3275	0.0071659223	2130919	5976	0.008325986	2130919	2261	0.005005352	2130919	23897	0.009864758	2130919	337846	0.99976957	2130919	3506	0.0060419943	2130919	374245	0.9994012	2130919	5514	0.0055731824	2130919	18723	0.010215311	2130919	9001	0.008964207	2130919	4801	0.007746423	2130919	7419	0.00836822	2130919	16052	0.053852823	2130919	8194	0.007871721	2130919	514303	0.99944293	2130919	5076	0.009612285	2130919	2281	0.0054197274	2130919	2641	0.0051738243	2130919	2377	0.0054516383	2130919	1288	0.004688118	2130919	7089	0.008013444	2130919	12398	0.10151067	2130919	4850	0.008791512	2130919	5531	0.009283318	2130919	7037	0.008765701	2130919	193	0.002285399	2130919	6805	0.006968824	2130919	3800	0.0075619956	2130919	81120	0.19241604	2130919	271902	0.99923927	2130919	10486	0.09777941	2130919	5253	0.008529183	2130919	4930	0.0072982595	2130919	389902	0.9994566	2130919	5961	0.00789847	2130919	254	0.00203668	2130919	9174	0.009971754	2130919	324450	0.99943405	2130919	2403	0.0055919536	2130919	21329	0.013363249	2130919	5159	0.008430635	2130919	6019	0.008169714	2130919	2351	0.0049518542	2130919	4839	0.007744546	2130919	16538	0.12019462	2130919	4226	0.0071021	2130919	4364	0.006061704	2130919	4198	0.06975535	2130919
