genome,location,length
EHA04743_bin.36.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04743_bin.36.fa.gz,1865795
EHA04743_bin.38.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04743_bin.38.fa.gz,2180821
EHA04743_bin.3.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04743_bin.3.fa.gz,1691914
EHA04743_bin.42.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04743_bin.42.fa.gz,1338084
EHA04744_bin.26.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04744_bin.26.fa.gz,2517514
EHA04744_bin.40.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04744_bin.40.fa.gz,2668425
EHA04744_bin.6.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04744_bin.6.fa.gz,1006515
EHA04744_bin.8.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04744_bin.8.fa.gz,1172471
EHA04745_bin.5.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04745_bin.5.fa.gz,2374266
EHA04746_bin.18.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04746_bin.18.fa.gz,2714220
EHA04746_bin.20.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04746_bin.20.fa.gz,2130919
EHA04747_bin.16.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.16.fa.gz,2338835
EHA04747_bin.21.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.21.fa.gz,1216534
EHA04747_bin.24.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.24.fa.gz,2159588
EHA04747_bin.26.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.26.fa.gz,1812973
EHA04747_bin.2.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.2.fa.gz,2560591
EHA04747_bin.30.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.30.fa.gz,2257578
EHA04747_bin.37.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.37.fa.gz,1971688
EHA04747_bin.38.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.38.fa.gz,1142719
EHA04747_bin.43.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.43.fa.gz,1193512
EHA04747_bin.49.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.49.fa.gz,835202
EHA04747_bin.4.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.4.fa.gz,963931
EHA04747_bin.7.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.7.fa.gz,846666
EHA04747_bin.9.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.9.fa.gz,1124456
EHA04748_bin.12.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04748_bin.12.fa.gz,2279628
EHA04748_bin.17.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04748_bin.17.fa.gz,1225913
EHA04748_bin.25.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04748_bin.25.fa.gz,1717228
EHA04748_bin.40.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04748_bin.40.fa.gz,2163852
EHA04748_bin.50.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04748_bin.50.fa.gz,1432688
EHA04748_bin.7.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04748_bin.7.fa.gz,1122789
EHA04749_bin.18.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04749_bin.18.fa.gz,2170875
EHA04749_bin.1.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04749_bin.1.fa.gz,1481561
EHA04749_bin.20.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04749_bin.20.fa.gz,1203994
EHA04749_bin.26.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04749_bin.26.fa.gz,2282685
EHA04749_bin.28.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04749_bin.28.fa.gz,2036769
EHA04749_bin.30.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04749_bin.30.fa.gz,2772566
EHA04749_bin.45.fa.gz,/maps/projects/mjolnir1/people/ncl550/1_projects/2025_wombats/3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04749_bin.45.fa.gz,2585895
