ID,mag_name,link_to_assembly,GTDB_version,domain,phylum,class,order,family,genus,species,host_species,closest_placement_ani,completeness,contamination,size,GC,N50,contigs,number_genes,cazy_hits,pfam_hits,kegg_hits,number_unannotated_genes,percent_unannotated_genes,DM_batch,closest_placement_af,fastani_ani,MAG_url,AB_batch,taxonomy_level,DM_batch 2,sample_type,anno_url,gbk_url,kegg_url,annotated,dereplicated,coding_density,host_order,host_class,percent_unannotated_kegg
EHM069070,EHA04815_bin.53.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Faecousia,s__,Vombatus ursinus,77.72,100,0.91,1991842,43.00%,23612,139,1494,47,1181,753,291,19.5,DMB0166,0.23,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.53.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069070_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069070.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069070_kegg.tsv.gz,TRUE,DMB0166,0.86,Diprotodontia,Mammalia,49.6
EHM069076,EHA04815_bin.59.fa,EHA04815,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tenuifilaceae,g__RGIG6076,s__,Vombatus ursinus,0,100,0.32,2406440,50.00%,117398,33,2329,66,1819,1075,481,20.7,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.59.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069076_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069076.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069076_kegg.tsv.gz,TRUE,DMB0166,0.9,Diprotodontia,Mammalia,53.8
EHM069121,EHA04815_bin.166.fa,EHA04815,2.3.0,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__Methanocorpusculum,s__,Vombatus ursinus,0,100,0.19,1579733,49.00%,64197,44,1548,13,1118,758,386,24.9,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.166.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069121_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069121.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069121_kegg.tsv.gz,TRUE,DMB0166,0.89,Diprotodontia,Mammalia,51
EHM068924,EHA04815_bin.105.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Phascolarctobacterium_A,s__,Vombatus ursinus,81.28,99.99,0.11,1840008,40.00%,94513,32,1661,33,1429,1068,203,12.2,DMB0166,0.6,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.105.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068924_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068924.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068924_kegg.tsv.gz,TRUE,DMB0166,0.9,Diprotodontia,Mammalia,35.7
EHM067037,EHA04747_bin.9.fa,EHA04747,2.3.0,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__,s__,Vombatus ursinus,0,99.92,0.97,3888816,41.00%,179227,44,719,11,492,262,216,30,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0566/EHA04747_bin.9.fa.gz,ABB0566,Family,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067037_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067037.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067037_kegg.tsv.gz,TRUE,DMB0166,0.89,Diprotodontia,Mammalia,63.6
EHM067222,EHA04749_bin.30.fa,EHA04749,2.3.0,d__Bacteria,p__Fibrobacterota,c__Fibrobacteria,o__Fibrobacterales,f__Fibrobacteraceae,g__Fibrobacter,s__,Vombatus ursinus,0,99.92,0.66,2772566,37.00%,49945,81,2229,140,1596,925,604,27.1,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0566/EHA04749_bin.30.fa.gz,ABB0566,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067222_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067222.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067222_kegg.tsv.gz,TRUE,DMB0166,0.91,Diprotodontia,Mammalia,58.5
EHM069027,EHA04815_bin.200.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__UMGS1384,g__UMGS1384,s__,Vombatus ursinus,81.6,99.92,4.68,3865130,41.00%,189308,38,1269,46,1048,646,196,15.4,DMB0166,0.69,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.200.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069027_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069027.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069027_kegg.tsv.gz,TRUE,DMB0166,0.9,Diprotodontia,Mammalia,49.1
EHM067005,EHA04747_bin.24.fa,EHA04747,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__ML635J-15,g__Bact-19,s__,Vombatus ursinus,0,99.88,0.15,1949272,43.00%,77450,40,1807,49,1418,837,369,20.4,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0566/EHA04747_bin.24.fa.gz,ABB0566,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067005_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067005.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067005_kegg.tsv.gz,TRUE,DMB0166,0.93,Diprotodontia,Mammalia,53.7
EHM069098,EHA04815_bin.79.fa,EHA04815,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__WCHB1-69,g__UBA1205,s__,Vombatus ursinus,0,99.87,0.27,2522556,47.00%,66801,75,1240,32,922,522,304,24.5,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.79.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069098_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069098.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069098_kegg.tsv.gz,TRUE,DMB0166,0.89,Diprotodontia,Mammalia,57.9
EHM068997,EHA04815_bin.172.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__RUG591,s__,Vombatus ursinus,81.96,99.8,2.09,1280103,25.00%,31859,60,904,14,616,386,279,30.9,DMB0166,0.65,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.172.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068997_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068997.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068997_kegg.tsv.gz,TRUE,DMB0166,0.88,Diprotodontia,Mammalia,57.3
EHM067219,EHA04749_bin.28.fa,EHA04749,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__WCHB1-69,g__F23-D06,s__,Vombatus ursinus,77.76,99.68,0.09,2036769,43.00%,129568,46,1652,52,1308,804,323,19.6,DMB0166,0.25,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0566/EHA04749_bin.28.fa.gz,ABB0566,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067219_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067219.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067219_kegg.tsv.gz,TRUE,DMB0166,0.93,Diprotodontia,Mammalia,51.3
EHM066891,EHA04744_bin.26.fa,EHA04744,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Firm-04,s__,Vombatus ursinus,79.8,99.67,0.77,2517514,48.00%,50757,94,2251,75,1615,986,598,26.6,DMB0166,0.36,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0566/EHA04744_bin.26.fa.gz,ABB0566,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM066891_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM066891.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM066891_kegg.tsv.gz,TRUE,DMB0166,0.89,Diprotodontia,Mammalia,56.2
EHM067019,EHA04747_bin.37.fa,EHA04747,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__,Vombatus ursinus,0,99.67,0.06,2709677,38.00%,48133,85,1473,68,1135,618,306,20.8,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0566/EHA04747_bin.37.fa.gz,ABB0566,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067019_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067019.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067019_kegg.tsv.gz,TRUE,DMB0166,0.91,Diprotodontia,Mammalia,58
EHM067208,EHA04749_bin.18.fa,EHA04749,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__UBA1712,s__,Vombatus ursinus,77.89,99.6,0.01,2170875,38.00%,96760,48,1878,89,1467,978,387,20.6,DMB0166,0.11,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0566/EHA04749_bin.18.fa.gz,ABB0566,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067208_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067208.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067208_kegg.tsv.gz,TRUE,DMB0166,0.9,Diprotodontia,Mammalia,47.9
EHM069118,EHA04815_bin.97.fa,EHA04815,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__UBA1179,s__,Vombatus ursinus,0,99.54,0.06,1925841,44.00%,55392,47,1496,80,1223,777,249,16.6,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.97.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069118_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069118.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069118_kegg.tsv.gz,TRUE,DMB0166,0.93,Diprotodontia,Mammalia,48.1
EHM067340,EHA04748_bin.7.fa,EHA04748,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__UBA4951,s__,Vombatus ursinus,79.42,99.53,0,1122789,42.00%,361144,7,974,23,753,503,203,20.8,DMB0166,0.29,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0566/EHA04748_bin.7.fa.gz,ABB0566,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067340_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067340.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067340_kegg.tsv.gz,TRUE,DMB0166,0.92,Diprotodontia,Mammalia,48.4
EHM066996,EHA04747_bin.16.fa,EHA04747,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__WRLA01,g__WRLA01,s__,Vombatus ursinus,76,99.49,0.02,2283115,48.00%,106650,40,1834,52,1450,872,361,19.7,DMB0166,0.05,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0566/EHA04747_bin.16.fa.gz,ABB0566,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM066996_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM066996.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM066996_kegg.tsv.gz,TRUE,DMB0166,0.93,Diprotodontia,Mammalia,52.5
EHM067217,EHA04749_bin.26.fa,EHA04749,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__F082,g__Limimorpha,s__,Vombatus ursinus,81.39,99.46,0.02,2282685,48.00%,88488,41,1893,69,1477,884,382,20.2,DMB0166,0.65,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0566/EHA04749_bin.26.fa.gz,ABB0566,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067217_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067217.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067217_kegg.tsv.gz,TRUE,DMB0166,0.93,Diprotodontia,Mammalia,53.3
EHM068921,EHA04815_bin.102.fa,EHA04815,2.3.0,d__Bacteria,p__Cyanobacteriota,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__,s__,Vombatus ursinus,0,99.45,0.2,1891158,37.00%,67712,45,1903,52,1230,790,649,34.1,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.102.fa.gz,ABB0581,Family,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068921_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068921.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068921_kegg.tsv.gz,TRUE,DMB0166,0.9,Diprotodontia,Mammalia,58.5
EHM068995,EHA04815_bin.170.fa,EHA04815,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-1000,s__,Vombatus ursinus,79.57,99.43,0.6,994420,37.00%,71818,19,829,8,554,349,263,31.7,DMB0166,0.51,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.170.fa.gz,ABB0581,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068995_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068995.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068995_kegg.tsv.gz,TRUE,DMB0166,0.91,Diprotodontia,Mammalia,57.9
EHM066840,EHA04746_bin.18.fa,EHA04746,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__W3P20-009,g__W3P20-009,s__,Vombatus ursinus,76.7,99.41,0.25,2714220,47.00%,84230,73,2229,100,1719,1044,469,21,DMB0166,0.15,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0566/EHA04746_bin.18.fa.gz,ABB0566,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM066840_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM066840.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM066840_kegg.tsv.gz,TRUE,DMB0166,0.89,Diprotodontia,Mammalia,53.2
EHM067181,EHA04750_bin.36.fa,EHA04750,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CAG-95,s__,Vombatus ursinus,0,99.35,0.02,2298104,48.00%,103418,43,2274,93,1808,1121,437,19.2,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0566/EHA04750_bin.36.fa.gz,ABB0566,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067181_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067181.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067181_kegg.tsv.gz,TRUE,DMB0166,0.93,Diprotodontia,Mammalia,50.7
EHM068917,EHA04815_bin.1.fa,EHA04815,2.3.0,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__RF32,f__UBA3637,g__,s__,Vombatus ursinus,0,99.35,0.42,1183631,42.00%,27379,84,1177,23,821,584,341,29,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.1.fa.gz,ABB0581,Family,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068917_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068917.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM068917_kegg.tsv.gz,TRUE,DMB0166,0.89,Diprotodontia,Mammalia,50.4
EHM069114,EHA04815_bin.93.fa,EHA04815,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__WCHB1-69,g__,s__,Vombatus ursinus,0,99.25,1.25,2525482,35.00%,18521,220,1570,37,1232,760,313,19.9,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0581/EHA04815_bin.93.fa.gz,ABB0581,Family,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069114_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069114.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069114_kegg.tsv.gz,TRUE,DMB0166,0.92,Diprotodontia,Mammalia,51.6
EHM067035,EHA04747_bin.7.fa,EHA04747,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__CAG-382,g__UBA1206,s__,Vombatus ursinus,0,99.17,0,1166647,42.00%,376960,12,559,19,409,234,143,25.6,DMB0166,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0566/EHA04747_bin.7.fa.gz,ABB0566,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067035_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067035.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067035_kegg.tsv.gz,TRUE,DMB0166,0.92,Diprotodontia,Mammalia,58.1
EHM067162,EHA04750_bin.18.fa,EHA04750,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__UBA1723,s__UBA1723 sp002371265,Vombatus ursinus,95.95,99.13,0.8,3803444,41.00%,140593,44,3081,145,2104,1120,938,30.4,DMB0166,0.82,95.95,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0566/EHA04750_bin.18.fa.gz,ABB0566,Species,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067162_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067162.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM067162_kegg.tsv.gz,TRUE,DMB0166,0.89,Diprotodontia,Mammalia,63.6
